program,input,iteration,path_rank,archetype
sqlite,21,2,5,1
sqlite,21,2,6,1
sqlite,21,2,7,1
sqlite,21,2,8,1
sqlite,21,2,9,7
sqlite,21,2,10,7
sqlite,22,0,1,1
sqlite,22,0,2,7
sqlite,22,0,3,7
sqlite,22,0,4,3
sqlite,22,0,5,1
sqlite,22,0,6,1
sqlite,22,0,7,1
sqlite,22,0,8,1
sqlite,22,0,9,1
sqlite,22,0,10,7
sqlite,22,1,1,1
sqlite,22,1,2,7
sqlite,22,1,3,3
sqlite,22,1,4,1
sqlite,22,1,5,1
sqlite,22,1,6,1
sqlite,22,1,7,1
sqlite,22,1,8,1
sqlite,22,1,9,7
sqlite,22,1,10,7
sqlite,22,2,1,1
sqlite,22,2,2,7
sqlite,22,2,3,7
sqlite,22,2,4,3
sqlite,22,2,5,1
sqlite,22,2,6,1
sqlite,22,2,7,1
sqlite,22,2,8,1
sqlite,22,2,9,1
sqlite,22,2,10,7
sqlite,23,0,1,1
sqlite,23,0,2,7
sqlite,23,0,3,3
sqlite,23,0,4,3
sqlite,23,0,5,1
sqlite,23,0,6,1
sqlite,23,0,7,1
sqlite,23,0,8,1
sqlite,23,0,9,7
sqlite,23,0,10,7
sqlite,23,1,1,1
sqlite,23,1,2,7
sqlite,23,1,3,3
sqlite,23,1,4,3
sqlite,23,1,5,1
sqlite,23,1,6,1
sqlite,23,1,7,1
sqlite,23,1,8,1
sqlite,23,1,9,1
sqlite,23,1,10,1
sqlite,23,2,1,1
sqlite,23,2,2,7
sqlite,23,2,3,3
sqlite,23,2,4,3
sqlite,23,2,5,1
sqlite,23,2,6,1
sqlite,23,2,7,1
sqlite,23,2,8,1
sqlite,23,2,9,7
sqlite,23,2,10,7
sqlite,24,0,1,1
sqlite,24,0,2,7
sqlite,24,0,3,7
sqlite,24,0,4,3
sqlite,24,0,5,1
sqlite,24,0,6,1
sqlite,24,0,7,2
sqlite,24,0,8,1
sqlite,24,0,9,1
sqlite,24,0,10,7
sqlite,24,1,1,1
sqlite,24,1,2,7
sqlite,24,1,3,7
sqlite,24,1,4,3
sqlite,24,1,5,1
sqlite,24,1,6,1
sqlite,24,1,7,1
sqlite,24,1,8,1
sqlite,24,1,9,1
sqlite,24,1,10,7
sqlite,24,2,1,1
sqlite,24,2,2,7
sqlite,24,2,3,7
sqlite,24,2,4,3
sqlite,24,2,5,1
sqlite,24,2,6,1
sqlite,24,2,7,2
sqlite,24,2,8,1
sqlite,24,2,9,1
sqlite,24,2,10,7
sqlite,25,0,1,1
sqlite,25,0,2,7
sqlite,25,0,3,3
sqlite,25,0,4,3
sqlite,25,0,5,8
sqlite,25,0,6,1
sqlite,25,0,7,1
sqlite,25,0,8,1
sqlite,25,0,9,1
sqlite,25,0,10,7
sqlite,25,1,1,1
sqlite,25,1,2,7
sqlite,25,1,3,3
sqlite,25,1,4,3
sqlite,25,1,5,1
sqlite,25,1,6,1
sqlite,25,1,7,1
sqlite,25,1,8,1
sqlite,25,1,9,1
sqlite,25,1,10,7
sqlite,25,2,1,1
sqlite,25,2,2,7
sqlite,25,2,3,3
sqlite,25,2,4,3
sqlite,25,2,5,1
sqlite,25,2,6,1
sqlite,25,2,7,1
sqlite,25,2,8,1
sqlite,25,2,9,1
sqlite,25,2,10,7
sqlite,26,0,1,1
sqlite,26,0,2,7
sqlite,26,0,3,7
sqlite,26,0,4,3
sqlite,26,0,5,1
sqlite,26,0,6,1
sqlite,26,0,7,2
sqlite,26,0,8,1
sqlite,26,0,9,1
sqlite,26,0,10,1
sqlite,26,1,1,1
sqlite,26,1,2,7
sqlite,26,1,3,7
sqlite,26,1,4,3
sqlite,26,1,5,1
sqlite,26,1,6,1
sqlite,26,1,7,2
sqlite,26,1,8,1
sqlite,26,1,9,1
sqlite,26,1,10,7
sqlite,26,2,1,1
sqlite,26,2,2,7
sqlite,26,2,3,3
sqlite,26,2,4,1
sqlite,26,2,5,1
sqlite,26,2,6,1
sqlite,26,2,7,1
sqlite,26,2,8,1
sqlite,26,2,9,7
sqlite,26,2,10,7
sqlite,27,0,1,1
sqlite,27,0,2,7
sqlite,27,0,3,3
sqlite,27,0,4,1
sqlite,27,0,5,1
sqlite,27,0,6,2
sqlite,27,0,7,1
sqlite,27,0,8,1
sqlite,27,0,9,7
sqlite,27,0,10,7
sqlite,27,1,1,8
sqlite,27,1,2,7
sqlite,27,1,3,3
sqlite,27,1,4,8
sqlite,27,1,5,8
sqlite,27,1,6,8
sqlite,27,1,7,8
sqlite,27,1,8,8
sqlite,27,1,9,7
sqlite,27,1,10,7
sqlite,27,2,1,1
sqlite,27,2,2,7
sqlite,27,2,3,7
sqlite,27,2,4,3
sqlite,27,2,5,1
sqlite,27,2,6,2
sqlite,27,2,7,1
sqlite,27,2,8,1
sqlite,27,2,9,1
sqlite,27,2,10,7
sqlite,28,0,1,8
sqlite,28,0,2,8
sqlite,28,0,3,8
sqlite,28,0,4,3
sqlite,28,0,5,8
sqlite,28,0,6,8
sqlite,28,0,7,8
sqlite,28,0,8,8
sqlite,28,0,9,8
sqlite,28,0,10,8
sqlite,28,1,1,1
sqlite,28,1,2,7
sqlite,28,1,3,3
sqlite,28,1,4,1
sqlite,28,1,5,1
sqlite,28,1,6,1
sqlite,28,1,7,1
sqlite,28,1,8,1
sqlite,28,1,9,7
sqlite,28,1,10,7
sqlite,28,2,1,1
sqlite,28,2,2,7
sqlite,28,2,3,3
sqlite,28,2,4,1
sqlite,28,2,5,1
sqlite,28,2,6,1
sqlite,28,2,7,1
sqlite,28,2,8,1
sqlite,28,2,9,1
sqlite,28,2,10,7
sqlite,29,0,1,1
sqlite,29,0,2,7
sqlite,29,0,3,7
sqlite,29,0,4,3
sqlite,29,0,5,1
sqlite,29,0,6,1
sqlite,29,0,7,1
sqlite,29,0,8,1
sqlite,29,0,9,1
sqlite,29,0,10,1
sqlite,29,1,1,1
sqlite,29,1,2,7
sqlite,29,1,3,7
sqlite,29,1,4,3
sqlite,29,1,5,1
sqlite,29,1,6,1
sqlite,29,1,7,1
sqlite,29,1,8,1
sqlite,29,1,9,1
sqlite,29,1,10,1
sqlite,29,2,1,1
sqlite,29,2,2,7
sqlite,29,2,3,7
sqlite,29,2,4,3
sqlite,29,2,5,1
sqlite,29,2,6,1
sqlite,29,2,7,1
sqlite,29,2,8,1
sqlite,29,2,9,1
sqlite,29,2,10,1
